Ortholog group	Number of genomes	Example accession	Description	Red_Sea_only
pelag14892	1	Pelagibacter_AAA795-J21_00589	hypothetical protein	True
pelag14893	1	Pelagibacter_AAA795-J21_00825	hypothetical protein	True
pelag14894	1	Pelagibacter_AAA795-J21_00830	hypothetical protein	True
pelag14895	1	Pelagibacter_AAA795-J21_00831	hypothetical protein	True
pelag14896	1	Pelagibacter_AAA795-J21_00892	hypothetical protein	True
pelag14897	1	Pelagibacter_AAA795-J21_00893	hypothetical protein	True
pelag14898	1	Pelagibacter_AAA795-J21_00898	Glycosyltransferase Gtf1	True
pelag14899	1	Pelagibacter_AAA795-J21_00899	hypothetical protein	True
pelag14900	1	Pelagibacter_AAA795-J21_00968	hypothetical protein	True
pelag14901	1	Pelagibacter_AAA795-J21_00969	hypothetical protein	True
pelag14902	1	Pelagibacter_AAA795-J21_00973	hypothetical protein	True
pelag14903	1	Pelagibacter_AAA795-K18_00004	hypothetical protein	True
pelag14904	1	Pelagibacter_AAA795-K18_00005	hypothetical protein	True
pelag14905	1	Pelagibacter_AAA795-K18_00006	hypothetical protein	True
pelag14906	1	Pelagibacter_AAA795-K18_00007	hypothetical protein	True
pelag14907	1	Pelagibacter_AAA795-K18_00008	hypothetical protein	True
pelag14908	1	Pelagibacter_AAA795-K18_00009	hypothetical protein	True
pelag14909	1	Pelagibacter_AAA795-K18_00010	Arylsulfatase	True
pelag14910	1	Pelagibacter_AAA795-K18_00011	hypothetical protein	True
pelag14911	1	Pelagibacter_AAA795-K18_00012	hypothetical protein	True
pelag14912	1	Pelagibacter_AAA795-K18_00013	Esterase EstB	True
pelag14913	1	Pelagibacter_AAA795-K18_00014	hypothetical protein	True
pelag14914	1	Pelagibacter_AAA795-K18_00015	hypothetical protein	True
pelag14915	1	Pelagibacter_AAA795-K18_00016	hypothetical protein	True
pelag14916	1	Pelagibacter_AAA795-K18_00017	Chitinase A	True
pelag14917	1	Pelagibacter_AAA795-K18_00058	hypothetical protein	True
pelag14918	1	Pelagibacter_AAA795-K18_00077	hypothetical protein	True
pelag14919	1	Pelagibacter_AAA795-K18_00083	hypothetical protein	True
pelag14920	1	Pelagibacter_AAA795-K18_00085	hypothetical protein	True
pelag14921	1	Pelagibacter_AAA795-K18_00086	hypothetical protein	True
pelag14922	1	Pelagibacter_AAA795-K18_00087	hypothetical protein	True
pelag14923	1	Pelagibacter_AAA795-K18_00088	hypothetical protein	True
pelag14924	1	Pelagibacter_AAA795-K18_00089	hypothetical protein	True
pelag14925	1	Pelagibacter_AAA795-K18_00218	hypothetical protein	True
pelag14926	1	Pelagibacter_AAA795-K18_00259	hypothetical protein	True
pelag14927	1	Pelagibacter_AAA795-K18_00338	hypothetical protein	True
pelag14928	1	Pelagibacter_AAA795-K18_00425	hypothetical protein	True
pelag14929	1	Pelagibacter_AAA795-K18_00426	hypothetical protein	True
pelag14930	1	Pelagibacter_AAA795-K18_00427	hypothetical protein	True
pelag14931	1	Pelagibacter_AAA795-K18_00428	hypothetical protein	True
pelag14932	1	Pelagibacter_AAA795-K18_00429	hypothetical protein	True
pelag14933	1	Pelagibacter_AAA795-K18_00430	hypothetical protein	True
pelag14934	1	Pelagibacter_AAA795-K18_00431	hypothetical protein	True
pelag14935	1	Pelagibacter_AAA795-K18_00432	hypothetical protein	True
pelag14936	1	Pelagibacter_AAA795-K18_00433	hypothetical protein	True
pelag14937	1	Pelagibacter_AAA795-K18_00434	hypothetical protein	True
pelag14938	1	Pelagibacter_AAA795-K18_00435	hypothetical protein	True
pelag14939	1	Pelagibacter_AAA795-K18_00437	Ribonuclease T	True
pelag14940	1	Pelagibacter_AAA795-K18_00439	Aminopeptidase N	True
pelag14941	1	Pelagibacter_AAA795-K18_00440	Prolyl tripeptidyl peptidase	True
pelag14942	1	Pelagibacter_AAA795-K18_00451	hypothetical protein	True
pelag14943	1	Pelagibacter_AAA795-K18_00472	hypothetical protein	True
pelag14944	1	Pelagibacter_AAA795-K18_00480	hypothetical protein	True
pelag14945	1	Pelagibacter_AAA795-K18_00493	hypothetical protein	True
pelag14946	1	Pelagibacter_AAA795-K18_00520	hypothetical protein	True
pelag14947	1	Pelagibacter_AAA795-K18_00568	hypothetical protein	True
pelag14948	1	Pelagibacter_AAA795-K18_00569	hypothetical protein	True
pelag14949	1	Pelagibacter_AAA795-K18_00570	Linear gramicidin synthase subunit A	True
pelag14950	1	Pelagibacter_AAA795-K18_00573	hypothetical protein	True
pelag14951	1	Pelagibacter_AAA795-K18_00574	hypothetical protein	True
pelag14952	1	Pelagibacter_AAA795-K18_00576	hypothetical protein	True
pelag14953	1	Pelagibacter_AAA795-K18_00583	hypothetical protein	True
pelag14954	1	Pelagibacter_AAA795-K18_00584	2-keto-3-deoxy-L-fuconate dehydrogenase	True
pelag14955	1	Pelagibacter_AAA795-L23_00007	hypothetical protein	True
pelag14956	1	Pelagibacter_AAA795-L23_00093	hypothetical protein	True
pelag14957	1	Pelagibacter_AAA795-L23_00094	hypothetical protein	True
pelag14958	1	Pelagibacter_AAA795-L23_00095	hypothetical protein	True
pelag14959	1	Pelagibacter_AAA795-L23_00180	2,3-diketo-5-methylthiopentyl-1-phosphate enolase	True
pelag14960	1	Pelagibacter_AAA795-L23_00181	hypothetical protein	True
pelag14961	1	Pelagibacter_AAA795-L23_00190	hypothetical protein	True
pelag14962	1	Pelagibacter_AAA795-L23_00211	hypothetical protein	True
pelag14963	1	Pelagibacter_AAA795-L23_00224	hypothetical protein	True
pelag14964	1	Pelagibacter_AAA795-L23_00279	hypothetical protein	True
pelag14965	1	Pelagibacter_AAA795-L23_00284	hypothetical protein	True
pelag14966	1	Pelagibacter_AAA795-L23_00298	hypothetical protein	True
pelag14967	1	Pelagibacter_AAA795-L23_00346	hypothetical protein	True
pelag14968	1	Pelagibacter_AAA795-L23_00384	hypothetical protein	True
pelag14969	1	Pelagibacter_AAA795-L23_00404	hypothetical protein	True
pelag14970	1	Pelagibacter_AAA795-L23_00411	hypothetical protein	True
pelag14971	1	Pelagibacter_AAA795-L23_00422	hypothetical protein	True
pelag14972	1	Pelagibacter_AAA795-L23_00428	hypothetical protein	True
pelag14973	1	Pelagibacter_AAA795-L23_00479	hypothetical protein	True
pelag14974	1	Pelagibacter_AAA795-L23_00528	hypothetical protein	True
pelag14975	1	Pelagibacter_AAA795-L23_00529	hypothetical protein	True
pelag14976	1	Pelagibacter_AAA795-L23_00553	Phosphoribosylformylglycinamidine synthase subunit PurL	True
pelag14977	1	Pelagibacter_AAA795-L23_00562	UDP-N-acetyl-D-glucosamine 6-dehydrogenase	True
pelag14978	1	Pelagibacter_AAA795-L23_00688	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE	True
pelag14979	1	Pelagibacter_AAA795-L23_00821	Release factor glutamine methyltransferase	True
pelag14980	1	Pelagibacter_AAA795-L23_00822	hypothetical protein	True
pelag14981	1	Pelagibacter_AAA795-L23_00823	3-oxoacyl-[acyl-carrier-protein] synthase 3	True
pelag14982	1	Pelagibacter_AAA795-L23_00825	hypothetical protein	True
pelag14983	1	Pelagibacter_AAA795-L23_00838	hypothetical protein	True
pelag14984	1	Pelagibacter_AAA795-L23_00843	hypothetical protein	True
pelag14985	1	Pelagibacter_AAA795-L23_00874	hypothetical protein	True
pelag14986	1	Pelagibacter_AAA795-M18_00029	hypothetical protein	True
pelag14987	1	Pelagibacter_AAA795-M18_00056	hypothetical protein	True
pelag14988	1	Pelagibacter_AAA795-M18_00060	hypothetical protein	True
pelag14989	1	Pelagibacter_AAA795-M18_00099	hypothetical protein	True
pelag14990	1	Pelagibacter_AAA795-M18_00102	hypothetical protein	True
pelag14991	1	Pelagibacter_AAA795-M18_00103	hypothetical protein	True
pelag14992	1	Pelagibacter_AAA795-M18_00104	hypothetical protein	True
pelag14993	1	Pelagibacter_AAA795-M18_00105	hypothetical protein	True
pelag14994	1	Pelagibacter_AAA795-M18_00106	hypothetical protein	True
pelag14995	1	Pelagibacter_AAA795-M18_00108	hypothetical protein	True
pelag14996	1	Pelagibacter_AAA795-M18_00112	UDP-2,3-diacetamido-2,3-dideoxy-D-glucuronate 2-epimerase	True
pelag14997	1	Pelagibacter_AAA795-M18_00117	hypothetical protein	True
pelag14998	1	Pelagibacter_AAA795-M18_00118	hypothetical protein	True
pelag14999	1	Pelagibacter_AAA795-M18_00121	hypothetical protein	True
pelag15000	1	Pelagibacter_AAA795-M18_00122	Alpha-monoglucosyldiacylglycerol synthase	True
pelag15001	1	Pelagibacter_AAA795-M18_00124	hypothetical protein	True
pelag15002	1	Pelagibacter_AAA795-M18_00126	hypothetical protein	True
pelag15003	1	Pelagibacter_AAA795-M18_00129	hypothetical protein	True
pelag15004	1	Pelagibacter_AAA795-M18_00131	hypothetical protein	True
pelag15005	1	Pelagibacter_AAA795-M18_00155	hypothetical protein	True
pelag15006	1	Pelagibacter_AAA795-M18_00213	hypothetical protein	True
pelag15007	1	Pelagibacter_AAA795-M18_00239	hypothetical protein	True
pelag15008	1	Pelagibacter_AAA795-M18_00241	hypothetical protein	True
pelag15009	1	Pelagibacter_AAA795-M18_00243	hypothetical protein	True
pelag15010	1	Pelagibacter_AAA795-M18_00245	hypothetical protein	True
pelag15011	1	Pelagibacter_AAA795-M18_00251	Rhamnosyl O-methyltransferase	True
pelag15012	1	Pelagibacter_AAA795-M18_00260	hypothetical protein	True
pelag15013	1	Pelagibacter_AAA795-M18_00261	hypothetical protein	True
pelag15014	1	Pelagibacter_AAA795-M18_00295	hypothetical protein	True
pelag15015	1	Pelagibacter_AAA795-M18_00296	hypothetical protein	True
pelag15016	1	Pelagibacter_AAA795-M18_00297	hypothetical protein	True
pelag15017	1	Pelagibacter_AAA795-M18_00298	hypothetical protein	True
pelag15018	1	Pelagibacter_AAA795-M18_00421	hypothetical protein	True
pelag15019	1	Pelagibacter_AAA795-M18_00447	hypothetical protein	True
pelag15020	1	Pelagibacter_AAA795-M18_00457	hypothetical protein	True
pelag15021	1	Pelagibacter_AAA795-M18_00494	hypothetical protein	True
pelag15022	1	Pelagibacter_AAA795-M18_00508	UDP-N-acetylenolpyruvoylglucosamine reductase	True
pelag15023	1	Pelagibacter_AAA795-M18_00584	hypothetical protein	True
pelag15024	1	Pelagibacter_AAA795-M18_00588	Methionine gamma-lyase	True
pelag15025	1	Pelagibacter_AAA795-M18_00682	hypothetical protein	True
pelag15026	1	Pelagibacter_AAA795-M18_00751	hypothetical protein	True
pelag15027	1	Pelagibacter_AAA795-M18_00752	hypothetical protein	True
pelag15028	1	Pelagibacter_AAA795-M18_00753	hypothetical protein	True
pelag15029	1	Pelagibacter_AAA795-M18_00848	hypothetical protein	True
pelag15030	1	Pelagibacter_AAA795-M18_00850	hypothetical protein	True
pelag15031	1	Pelagibacter_AAA795-M18_00862	hypothetical protein	True
pelag15032	1	Pelagibacter_AAA795-M18_00863	hypothetical protein	True
pelag15033	1	Pelagibacter_AAA795-M18_00864	hypothetical protein	True
pelag15034	1	Pelagibacter_AAA795-M18_00870	hypothetical protein	True
pelag15035	1	Pelagibacter_AAA795-M18_00991	L-ribulose-5-phosphate 4-epimerase	True
pelag15036	1	Pelagibacter_AAA795-M18_01025	hypothetical protein	True
pelag15037	1	Pelagibacter_AAA795-M18_01029	hypothetical protein	True
pelag15038	1	Pelagibacter_AAA795-M18_01054	Fimbrial protein	True
pelag15039	1	Pelagibacter_AAA795-M18_01073	hypothetical protein	True
pelag15040	1	Pelagibacter_AAA795-M18_01081	Putative N-acetylmannosaminyltransferase	True
pelag15041	1	Pelagibacter_AAA795-M18_01082	hypothetical protein	True
pelag15042	1	Pelagibacter_AAA795-M18_01084	hypothetical protein	True
pelag15043	1	Pelagibacter_AAA795-M22_00132	hypothetical protein	True
pelag15044	1	Pelagibacter_AAA795-M22_00171	hypothetical protein	True
pelag15045	1	Pelagibacter_AAA795-M22_00182	hypothetical protein	True
pelag15046	1	Pelagibacter_AAA795-M22_00235	hypothetical protein	True
pelag15047	1	Pelagibacter_AAA795-M22_00237	hypothetical protein	True
pelag15048	1	Pelagibacter_AAA795-M22_00239	DEAD-box ATP-dependent RNA helicase RhpA	True
pelag15049	1	Pelagibacter_AAA795-M22_00266	hypothetical protein	True
pelag15050	1	Pelagibacter_AAA795-M22_00273	hypothetical protein	True
pelag15051	1	Pelagibacter_AAA795-M22_00277	hypothetical protein	True
pelag15052	1	Pelagibacter_AAA795-M22_00284	hypothetical protein	True
pelag15053	1	Pelagibacter_AAA795-M22_00286	hypothetical protein	True
pelag15054	1	Pelagibacter_AAA795-M22_00312	hypothetical protein	True
pelag15055	1	Pelagibacter_AAA795-M22_00334	hypothetical protein	True
pelag15056	1	Pelagibacter_AAA795-M22_00344	putative adenylyltransferase/sulfurtransferase MoeZ	True
pelag15057	1	Pelagibacter_AAA795-M22_00359	hypothetical protein	True
pelag15058	1	Pelagibacter_AAA795-M22_00410	Gamma-glutamyl phosphate reductase	True
pelag15059	1	Pelagibacter_AAA795-M22_00422	hypothetical protein	True
pelag15060	1	Pelagibacter_AAA795-M22_00434	hypothetical protein	True
pelag15061	1	Pelagibacter_AAA795-M22_00441	hypothetical protein	True
pelag15062	1	Pelagibacter_AAA795-M22_00469	hypothetical protein	True
pelag15063	1	Pelagibacter_AAA795-M22_00544	hypothetical protein	True
pelag15064	1	Pelagibacter_AAA795-M22_00549	Pyrophosphatase PpaX	True
pelag15065	1	Pelagibacter_AAA795-M22_00554	hypothetical protein	True
pelag15066	1	Pelagibacter_AAA795-M22_00635	hypothetical protein	True
pelag15067	1	Pelagibacter_AAA795-M22_00687	hypothetical protein	True
pelag15068	1	Pelagibacter_AAA795-M22_00692	hypothetical protein	True
pelag15069	1	Pelagibacter_AAA795-M22_00694	hypothetical protein	True
pelag15070	1	Pelagibacter_AAA795-M22_00697	hypothetical protein	True
pelag15071	1	Pelagibacter_AAA795-M22_00830	hypothetical protein	True
pelag15072	1	Pelagibacter_AAA795-M22_00833	hypothetical protein	True
pelag15073	1	Pelagibacter_AAA795-M22_00865	hypothetical protein	True
pelag15074	1	Pelagibacter_AAA795-M22_00870	hypothetical protein	True
pelag15075	1	Pelagibacter_AAA795-M22_00941	hypothetical protein	True
pelag15076	1	Pelagibacter_AAA795-N08_00002	hypothetical protein	True
pelag15077	1	Pelagibacter_AAA795-N08_00018	hypothetical protein	True
pelag15078	1	Pelagibacter_AAA795-N08_00020	hypothetical protein	True
pelag15079	1	Pelagibacter_AAA795-N08_00053	hypothetical protein	True
pelag15080	1	Pelagibacter_AAA795-N08_00054	hypothetical protein	True
pelag15081	1	Pelagibacter_AAA795-N08_00085	hypothetical protein	True
pelag15082	1	Pelagibacter_AAA795-N08_00088	hypothetical protein	True
pelag15083	1	Pelagibacter_AAA795-N08_00089	hypothetical protein	True
pelag15084	1	Pelagibacter_AAA795-N08_00091	hypothetical protein	True
pelag15085	1	Pelagibacter_AAA795-N08_00092	Protease HtpX	True
pelag15086	1	Pelagibacter_AAA795-N08_00093	hypothetical protein	True
pelag15087	1	Pelagibacter_AAA795-N08_00095	hypothetical protein	True
pelag15088	1	Pelagibacter_AAA795-N08_00102	hypothetical protein	True
pelag15089	1	Pelagibacter_AAA795-N08_00111	hypothetical protein	True
pelag15090	1	Pelagibacter_AAA795-N08_00113	hypothetical protein	True
pelag15091	1	Pelagibacter_AAA795-N08_00119	hypothetical protein	True
pelag15092	1	Pelagibacter_AAA795-N08_00140	hypothetical protein	True
pelag15093	1	Pelagibacter_AAA795-N08_00163	hypothetical protein	True
pelag15094	1	Pelagibacter_AAA795-N08_00169	hypothetical protein	True
pelag15095	1	Pelagibacter_AAA795-N08_00173	hypothetical protein	True
pelag15096	1	Pelagibacter_AAA795-N08_00196	hypothetical protein	True
pelag15097	1	Pelagibacter_AAA795-N08_00197	hypothetical protein	True
pelag15098	1	Pelagibacter_AAA795-N08_00198	hypothetical protein	True
pelag15099	1	Pelagibacter_AAA795-N08_00204	hypothetical protein	True
pelag15100	1	Pelagibacter_AAA795-N08_00210	hypothetical protein	True
pelag15101	1	Pelagibacter_AAA795-N08_00216	hypothetical protein	True
pelag15102	1	Pelagibacter_AAA795-N08_00228	hypothetical protein	True
pelag15103	1	Pelagibacter_AAA795-N08_00243	Trans-aconitate 2-methyltransferase	True
pelag15104	1	Pelagibacter_AAA795-N08_00248	Inosine-5'-monophosphate dehydrogenase	True
pelag15105	1	Pelagibacter_AAA795-N08_00258	tRNA (cmo5U34)-methyltransferase	True
pelag15106	1	Pelagibacter_AAA795-N08_00264	hypothetical protein	True
pelag15107	1	Pelagibacter_AAA795-N08_00269	hypothetical protein	True
pelag15108	1	Pelagibacter_AAA795-N08_00292	hypothetical protein	True
pelag15109	1	Pelagibacter_AAA795-N08_00315	hypothetical protein	True
pelag15110	1	Pelagibacter_AAA795-N08_00327	hypothetical protein	True
pelag15111	1	Pelagibacter_AAA795-N08_00333	Imidazole glycerol phosphate synthase subunit HisH 1	True
pelag15112	1	Pelagibacter_AAA795-N08_00334	hypothetical protein	True
pelag15113	1	Pelagibacter_AAA795-N08_00340	N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase	True
pelag15114	1	Pelagibacter_AAA795-N08_00341	hypothetical protein	True
pelag15115	1	Pelagibacter_AAA795-N08_00342	hypothetical protein	True
pelag15116	1	Pelagibacter_AAA795-N08_00348	hypothetical protein	True
pelag15117	1	Pelagibacter_AAA795-N08_00365	hypothetical protein	True
pelag15118	1	Pelagibacter_AAA795-N08_00366	hypothetical protein	True
pelag15119	1	Pelagibacter_AAA795-N08_00369	hypothetical protein	True
pelag15120	1	Pelagibacter_AAA795-N08_00371	hypothetical protein	True
pelag15121	1	Pelagibacter_AAA795-N08_00398	hypothetical protein	True
pelag15122	1	Pelagibacter_AAA795-N08_00401	hypothetical protein	True
pelag15123	1	Pelagibacter_AAA795-N08_00409	hypothetical protein	True
pelag15124	1	Pelagibacter_AAA795-N08_00411	hypothetical protein	True
pelag15125	1	Pelagibacter_AAA795-N08_00412	hypothetical protein	True
pelag15126	1	Pelagibacter_AAA795-N08_00413	hypothetical protein	True
pelag15127	1	Pelagibacter_AAA795-N08_00471	hypothetical protein	True
pelag15128	1	Pelagibacter_AAA795-N08_00485	hypothetical protein	True
pelag15129	1	Pelagibacter_AAA795-N08_00528	hypothetical protein	True
pelag15130	1	Pelagibacter_AAA795-N08_00551	hypothetical protein	True
pelag15131	1	Pelagibacter_AAA795-N08_00552	hypothetical protein	True
pelag15132	1	Pelagibacter_AAA795-N08_00557	hypothetical protein	True
pelag15133	1	Pelagibacter_AAA795-N08_00558	hypothetical protein	True
pelag15134	1	Pelagibacter_AAA795-N08_00559	hypothetical protein	True
pelag15135	1	Pelagibacter_AAA795-N08_00560	hypothetical protein	True
pelag15136	1	Pelagibacter_AAA795-N08_00561	hypothetical protein	True
pelag15137	1	Pelagibacter_AAA795-N08_00563	Abequosyltransferase RfbV	True
pelag15138	1	Pelagibacter_AAA795-N08_00564	5-aminovalerate aminotransferase DavT	True
pelag15139	1	Pelagibacter_AAA795-N08_00566	hypothetical protein	True
pelag15140	1	Pelagibacter_AAA795-N08_00571	Amino-acid carrier protein AlsT	True
pelag15141	1	Pelagibacter_AAA795-N17_00053	hypothetical protein	True
pelag15142	1	Pelagibacter_AAA795-N17_00063	hypothetical protein	True
pelag15143	1	Pelagibacter_AAA795-N17_00072	hypothetical protein	True
pelag15144	1	Pelagibacter_AAA795-N17_00116	hypothetical protein	True
pelag15145	1	Pelagibacter_AAA795-N17_00137	7-carboxy-7-deazaguanine synthase	True
pelag15146	1	Pelagibacter_AAA795-N17_00142	hypothetical protein	True
pelag15147	1	Pelagibacter_AAA795-N17_00147	hypothetical protein	True
pelag15148	1	Pelagibacter_AAA795-N17_00148	2-oxoglutarate dehydrogenase E1 component	True
pelag15149	1	Pelagibacter_AAA795-N17_00149	hypothetical protein	True
pelag15150	1	Pelagibacter_AAA795-N17_00302	hypothetical protein	True
pelag15151	1	Pelagibacter_AAA795-N17_00309	hypothetical protein	True
pelag15152	1	Pelagibacter_AAA795-N17_00311	dTDP-4-amino-4,6-dideoxy-D-glucose acyltransferase	True
pelag15153	1	Pelagibacter_AAA795-N17_00313	hypothetical protein	True
pelag15154	1	Pelagibacter_AAA795-N17_00390	ATP synthase subunit delta	True
pelag15155	1	Pelagibacter_AAA795-N17_00391	hypothetical protein	True
pelag15156	1	Pelagibacter_AAA795-N17_00398	Oxygen-independent coproporphyrinogen-III oxidase	True
pelag15157	1	Pelagibacter_AAA795-N17_00416	Phenylacetate-coenzyme A ligase	True
pelag15158	1	Pelagibacter_AAA795-N17_00537	hypothetical protein	True
pelag15159	1	Pelagibacter_AAA795-N17_00557	hypothetical protein	True
pelag15160	1	Pelagibacter_AAA795-N17_00558	hypothetical protein	True
pelag15161	1	Pelagibacter_AAA795-N17_00589	Phenylacetate-coenzyme A ligase	True
